scenario,3M,6M,1Y,2Y,5Y,10Y,30Y
129,3.9883282163812095,4.013452372103656,4.154750566522546,4.424396336772148,4.599093927870226,4.830442885638932,5.272761650150519
130,3.9755525707221513,4.014816294321056,4.126502173239932,4.32694820665027,4.48696746197337,4.752782527956836,5.1917453880329365
131,3.9682327992305297,3.990002650754963,4.154359900966772,4.401096822049345,4.604770129911069,4.8318193054718845,5.303253331537906
132,3.8944479849525684,3.9648924290162433,4.122084331715274,4.381822301141159,4.559855811373634,4.796918424406647,5.228558458617525
133,3.9125297564263635,3.9778162986840546,4.129977596844447,4.376015746677136,4.570739154334656,4.826256004430389,5.2904185765385625
134,3.946979772929266,3.9989490924196915,4.117540131132425,4.3559037190156475,4.52812023329549,4.792102010777509,5.279387577927827
135,3.9294524510533706,3.972527294218456,4.139332762582755,4.3471059473432945,4.525612376130192,4.767364686357215,5.238522222965566
136,3.881218017738151,4.016460348560851,4.144637829039712,4.41775691298783,4.618366570086511,4.826226219788258,5.234140751625214
137,3.94742669143239,3.999515256488407,4.189457764637111,4.38395370377046,4.559167787747521,4.775638939979786,5.214489557528561
138,3.92832639234381,3.970580628720252,4.109108731912988,4.369440031935025,4.541159526764077,4.812358960122249,5.256384982805146
139,3.9745603303669608,4.024204559694953,4.160539868435366,4.396477940250169,4.576233844640397,4.8110357752579125,5.266687219179765
140,3.9305923905156512,4.019992005232693,4.156375998658809,4.397697087299102,4.554674915790637,4.757472204447421,5.216092086498091
141,3.969941470648157,4.015448056723676,4.1765276362498485,4.397401738623592,4.540414024929835,4.776089086703869,5.222039869920654
142,3.948167764634761,3.979742844185716,4.170416685363438,4.3853719104621725,4.564920564230795,4.770647529093635,5.247585518104848
143,3.9567961984203666,3.996457428623085,4.151163265576051,4.38067844121439,4.565901594366026,4.815070835360763,5.274592211859268
144,3.972481655426875,4.0120461102037615,4.17008987077439,4.412753284172763,4.591790601090201,4.834661511909063,5.2890215430229635
145,3.899671885025323,4.0009880948099745,4.138547972678846,4.385827253765852,4.534381414075599,4.769701291571824,5.226667910888003
146,3.956545693184685,4.001077941664676,4.163329521694107,4.427890243811522,4.614746910043649,4.842723583967412,5.300892208198421
147,3.8999767368843563,3.9839723511093372,4.132522184500769,4.387032720775877,4.5771813952058675,4.799959660999813,5.213911171216864
148,3.929357058950001,3.9734373906679634,4.105965577189492,4.353366566066862,4.521380338261292,4.767326027393177,5.234433306339384
149,3.957417467586208,4.006751207410029,4.152352986718258,4.346554643632902,4.531107998421519,4.762155641979565,5.213804096171866
150,3.9510733786552485,4.005954935275278,4.146626494625424,4.41628169839635,4.577174017854315,4.783149981506387,5.238573584180393
151,3.9414900785197418,4.027074472857675,4.207236790099349,4.408834306269734,4.616894954989146,4.857881681171098,5.310170413161283
